country,customer,deadline,description,number,price,url_addr
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2020-03-20,Закупка цветного металлопроката,2020-793068,405 000,http://www.icetrade.by/tenders/all/view/793068
BLR,"ОАО ""Лидагропроммаш""",2020-03-24,Закупка автомобиля,2020-793067,55 000,http://www.icetrade.by/tenders/all/view/793067
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2020-03-20,"Закупка алюминиевого металлопроката, и алюминиевых профилей профилей",2020-793066,270 000,http://www.icetrade.by/tenders/all/view/793066
BLR,"ОАО ""АГРОКОМБИНАТ ""ДЗЕРЖИНСКИЙ""",2020-03-20,закупка услуги по выработке консервов,2020-793065,192 000,http://www.icetrade.by/tenders/all/view/793065
BLR,"УП ""ЛОГОЙСКИЙ КОМХОЗ""",2020-03-19,Выбор подрядной организации по бурению скважины и устройству насосной станции к ней,2020-792967,81 000,http://www.icetrade.by/tenders/all/view/792967
BLR,"РУСП ""Массоляны""",2020-03-23,закупку ограждений для  телятника на 260 голов боксового содержания на территории МТФ,2020-793064,0,http://www.icetrade.by/tenders/all/view/793064
BLR,"ОАО ""КРИНИЦА""",2020-04-02,Преформа ПЭТ массой от 29 г до 32 г с силиконом цвет коричневый для выдува бутылки 1 л,2020-793063,291 600,http://www.icetrade.by/tenders/all/view/793063
BLR,"ОАО ""СТРОЙТРЕСТ №4""",2020-03-31,"Торги по упрощенной схеме по выбору поставщика оборудования трансформаторной подстанции  для объекта «Группа многоэтажных жилых домов с помещениями общественного назначения и подземная гараж-стоянка в квартале ул. Л.Беды, Тиражной, Восточной, Белинского. 1 очередь строительства. Инженерные сети»",2020-792966,308 432.22,http://www.icetrade.by/tenders/all/view/792966
BLR,"Коммунальное жилищное унитарное предприятие ""Мозырский райжилкомхоз""",2020-03-20,"закупка насосов, кранов шаровых, задвижек, труб ПП, цилиндров теплоизоляционных, счетчиков, КТР, фланцев, отводов, манометров",2020-792965,10 000,http://www.icetrade.by/tenders/all/view/792965
BLR,"Унитарное предприятие ""Ужица-Агро""",2020-03-25,средства защиты растений,2020-793062,0,http://www.icetrade.by/tenders/all/view/793062
BLR,"УПТК ОАО ""Стройтрест №1""",2020-03-30,"Закупка ЖБ изделий на объект ""РНПЦ ""Мать и дитя"" Реконструкция отделения анестезиологии и реанимации с палатами интенсивной терапии для новорождённых. 6 ОС""пуса в г. Минске. 2ПК""",2020-793061,89 535.30,http://www.icetrade.by/tenders/all/view/793061
BLR,"Унитарное предприятие ""УКС Столинского района""",2020-03-31,по выбору подрядной организации на выполнение строительно-монтажных работ по объекту,2020-792964,201 909.50,http://www.icetrade.by/tenders/all/view/792964
BLR,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",2020-03-20,закупка тринатрийфосфата,2020-792753,14 170.61,http://www.icetrade.by/tenders/all/view/792753
BLR,"Унитарное предприятие ""Щепичи-Агро""",2020-03-25,закупка семян лцерны,2020-793060,0,http://www.icetrade.by/tenders/all/view/793060
BLR,"Унитарное предприятие ""Щепичи-Агро""",2020-03-20,Семена кукурузы,2020-793059,0,http://www.icetrade.by/tenders/all/view/793059
BLR,"УП ""Барановичское отделение Белорусской железной дороги""",2020-04-03,"Закупка винилискожи, материала отделочного шприцованного",2020-792963,110 786.40,http://www.icetrade.by/tenders/all/view/792963
BLR,"Государственное предприятие ""УКС Советского района г.Минска""",2020-04-13,"выбор генеральной подрядной организации для разработки предпроектной (предынвестиционной) документации по объекту «Строительство пристройки к учреждению здравоохранения «13-я городская поликлиника» по ул. Ломоносова, 3 в г.Минске»",2020-792752,24 200,http://www.icetrade.by/tenders/all/view/792752
BLR,"Коммунальное сельскохозяйственное унитарное предприятие ""Брилево""",2020-03-20,"Запасные части для уборочных комбайнов Ploeger EPD-538 зав.№61008003 2008 г.в. и Ploeger BP-2000 зав.№51006002 2006 г.в.,мульчер Humus Mulchgerat КМ 200",2020-793058,0,http://www.icetrade.by/tenders/all/view/793058
BLR,"ОАО ""Пинский автобусный парк""",2020-03-24,Закупка электроматериалов,2020-793057,28 283,http://www.icetrade.by/tenders/all/view/793057
BLR,"ОАО ""Молоко"" г. Витебск",2020-03-24,Мешки-вкладыши пленочные,2020-792962,235 000,http://www.icetrade.by/tenders/all/view/792962
BLR,"ОАО ""Брестлифт""",2020-03-25,"Техническое освидетельствование и техническое диагностирование лифтов находящихся на обслуживании открытого акционерного общества ""Брестлифт"".",2020-792961,55 251,http://www.icetrade.by/tenders/all/view/792961
BLR,"Государственное предприятие ""Чаусский Ремстрой""",2020-03-31,"Закупка межкомнатных  дверных блоков, наличников на строительство объекта",2020-792751,19 600,http://www.icetrade.by/tenders/all/view/792751
BLR,"ООО ""Пассат"" г.Солигорск",2020-03-18,Закупка клапанов противопожарных,2020-792750,28 856.51,http://www.icetrade.by/tenders/all/view/792750
BLR,"ОАО ""Стройтрест №7""",2020-03-18,Закупка №444 - Интернациональная - окна,2020-792534,11 417,http://www.icetrade.by/tenders/all/view/792534
BLR,"Государственное предприятие ""Голынка""",2020-03-30,Cредства защиты растений,2020-793056,853 141.02,http://www.icetrade.by/tenders/all/view/793056
BLR,"ОАО ""Строительный трест № 14""",2020-03-27,Закупка материалов и оборудования для строительства телекоммуникационной системы поликлиники,2020-793055,260 000,http://www.icetrade.by/tenders/all/view/793055
BLR,"ОАО ""Гомсельмаш""",2020-03-20,Закупка портландцемента,2020-792959,4 300,http://www.icetrade.by/tenders/all/view/792959
BLR,"ОАО ""Гомсельмаш""",2020-03-20,закупка штукатурки цементной,2020-792958,12 200,http://www.icetrade.by/tenders/all/view/792958
BLR,"ОАО ""Мозырский НПЗ""",2020-03-20,закупка лабораторной мебели - ОМТС,2020-792748,29 526,http://www.icetrade.by/tenders/all/view/792748
BLR,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",2020-03-19,Электрический тельфер г/п 5 т.  с двумя тормозами (согласно техническому заданию от 04.05.2019),2020-792747,3 025.23,http://www.icetrade.by/tenders/all/view/792747
BLR,"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""",2020-03-20,Закупка электромагнитных клапанов подогрева бака AdBlue,2020-792533,155 000,http://www.icetrade.by/tenders/all/view/792533
BLR,"Государственное предприятие ""УКС города Гомеля""",2020-03-24,Шторы,2020-793054,13 500,http://www.icetrade.by/tenders/all/view/793054
BLR,ООО «ТехноКонтроль»,2020-03-19,Капремонт улицы Рокоссовского,2020-793053,87 329.69,http://www.icetrade.by/tenders/all/view/793053
BLR,"УП ""УКС МИНГОРИСПОЛКОМА""",2020-03-19,выбор поставщика лифтов для объектов строительства: «Строительство многопрофильной поликлиники в квартале улиц: К.Либкнехта-Хмелевского-Р.Люксембург-Лермонто­,2020-792957,299 816,http://www.icetrade.by/tenders/all/view/792957
BLR,"ОАО ""БЕЛЭНЕРГОРЕМНАЛАДКА""",2020-04-02,Закупка лицензии для 1С: Предприятие 8,2020-792956,56 655,http://www.icetrade.by/tenders/all/view/792956
BLR,"ОАО ""Белцветмет""",2020-03-27,закупка лома и отходов латуни,2020-792745,735 000,http://www.icetrade.by/tenders/all/view/792745
BLR,ИНСТИТУТ МИКРОБИОЛОГИИ НАН БЕЛАРУСИ,2020-04-13,Вакуумный загрузчик в комплекте,2020-792744,86 084.88,http://www.icetrade.by/tenders/all/view/792744
BLR,Администрация зон отчуждения и отселения,2020-03-18,"Выбор организации на выполнение работ по ремонту памятников, содержанию мест захоронения воинов, погибших во время Великой Отечественной войны, в Краснопольском районе Могилёвской области",2020-792532,1 750.43,http://www.icetrade.by/tenders/all/view/792532
BLR,12-я городская клиническая стоматологическая поликлиника,2020-03-19,закупкf медицинских изделий - оттискных материалов и составов  для получения слеп-ков зубов и восков зубоврачебных,2020-792531,21 860,http://www.icetrade.by/tenders/all/view/792531
BLR,"Унитарное предприятие""Глубокский мясокомбинат""",2020-04-01,закупка пленки,2020-792331,40 000,http://www.icetrade.by/tenders/all/view/792331
BLR,"УП ""МИНГАЗ""",2020-03-19,генподрядной организации  для выполнения  инженерно-геодезических  изысканий,2020-793052,1 350,http://www.icetrade.by/tenders/all/view/793052
BLR,"ОАО ""Гомельский химический завод""",2020-04-03,закупка соляной кислоты,2020-792955,0,http://www.icetrade.by/tenders/all/view/792955
BLR,"ОАО ""ТРЕСТ №15 ""СПЕЦСТРОЙ""",2020-03-19,Песок 2 класса с доставкой на объект строительства,2020-792743,23 328,http://www.icetrade.by/tenders/all/view/792743
BLR,УВД Гродненского облисполкома,2020-03-23,"Закупка моторедуктора для шлагбаума на объект УВД Гродненского облисполкома, расположенный по адресу: г.Гродно, ул. Белуша, 49",2020-792530,1 900,http://www.icetrade.by/tenders/all/view/792530
BLR,"Государственное предприятие ""Витебский ДСК""",2020-03-18,"плитs пенополистирольных, экструдированных, теплоизоляционных для объектов строительства  «Жилые дома КПД №10,№11,№15 в квартале жилой застройки планировочный квартал № 9 в районе «Билево» г.Витебска».",2020-792330,14 550,http://www.icetrade.by/tenders/all/view/792330
BLR,"ОАО ""Радонежское""",2020-03-19,средства защиты растений,2020-793051,0,http://www.icetrade.by/tenders/all/view/793051
BLR,"ОАО ""Строительный трест № 14""",2020-03-19,Выбор субподрядной организации для выполнения работ по горизонтально-направленному бурению,2020-793050,213 153.52,http://www.icetrade.by/tenders/all/view/793050
BLR,"Государственное предприятие ""ЖЭУ № 4 Октябрьского района г. Минска""",2020-03-19,Закупка лакокрасочных изделий и строительных смесей,2020-792954,0,http://www.icetrade.by/tenders/all/view/792954
BLR,Минская центральная таможня,2020-03-20,"выбор поставщика товаров для проведения ремонтных работ по адресу: г. Минск, ул. Могилевская, 45/1",2020-792953,250,http://www.icetrade.by/tenders/all/view/792953
BLR,"ОАО ""Молоко"" г. Витебск",2020-03-23,Холодильное оборудование для холодильной камеры №5 цеха готовой продукции,2020-792742,150 000,http://www.icetrade.by/tenders/all/view/792742
BLR,"ОАО ""БМЗ- управляющая компания холдинга ""БМК""",2020-03-20,закупка меди сернокислой (II) 5-водной  или сульфата меди (II) пентагидрат,2020-792741,271 846.02,http://www.icetrade.by/tenders/all/view/792741
BLR,"ОАО ""ЭЛЕКТРОМОДУЛЬ""",2020-03-25,Замена  пассажирского лифта в административно-хозяйственном здании,2020-792529,60 000,http://www.icetrade.by/tenders/all/view/792529
BLR,"ЗАО ""Альфа-Банк""",2020-03-25,"Услуги рекламных агентств полного цикла для обслуживания проектов ЗАО ""Альфа-Банк"" в 2020-2022 годах",2020-792528,0,http://www.icetrade.by/tenders/all/view/792528
BLR,"ОАО ""Спецжелезобетон""",2020-03-19,Проведение ремонтных работ на осушителе воздуха ICI ED 12000 (Италия),2020-792328,0,http://www.icetrade.by/tenders/all/view/792328
BLR,"Унитарное предприятие ""Гомельский завод торгового оборудования""",2020-03-25,закупка головы экструзионной для ПНД на экструдер МА-55,2020-792327,5 000,http://www.icetrade.by/tenders/all/view/792327
