country,customer,deadline,description,number,price,url_addr
BLR,"Государственное предприятие ""УКС Лиозненского района""",2019-07-17,"Выбор генеральной подрядной организации для проектирования и строительства объекта : «40 квартирный жилой дом в г.п.Лиозно, ул. Школьная, 16а» (с инженерными сетями)",2019-722598,2 737 300,http://www.icetrade.by/tenders/all/view/722598
BLR,РНПЦ НЕВРОЛОГИИ И НЕЙРОХИРУРГИИ,2019-07-15,Расходные материалы для нейрохирургии,2019-724380,0,http://www.icetrade.by/tenders/all/view/724380
BLR,"ОАО ""Кобринский МСЗ""",2019-07-15,Закупка бактериальной закваски сухой концентрированной для производства мягких сыров,2019-725592,0,http://www.icetrade.by/tenders/all/view/725592
BLR,"РУП ""БЕЛМЕДПРЕПАРАТЫ""",2019-07-16,Упаковочные материалы ОК 30-19,2019-726395,1 746 623,http://www.icetrade.by/tenders/all/view/726395
BLR,"Государственное предприятие ""Жилищное коммунальное хозяйство Советского района г. Минска""",2019-07-15,"Выполнение работ по текущему ремонту системы отопления жилых домов, находящихся на обслуживании КУП «Жилищное коммунальное хозяйство Советского района г.Минска»",2019-721524,82 561,http://www.icetrade.by/tenders/all/view/721524
BLR,"ОАО ""МТЗ""",2019-07-25,Ванна меднения  – 1 единица,2019-713445,0,http://www.icetrade.by/tenders/all/view/713445
BLR,"ОАО ""Гродно Азот""",2019-07-16,Закупка запасных частей к косилке KRONE (9 м),2019-725709,1,http://www.icetrade.by/tenders/all/view/725709
BLR,МГУП,2019-07-16,"Учебный компьютерный класс в комплекте (ПЭВМ с лицензионными правами на программы WinPro 10, Office  и SOLID WORKS)",2019-726434,48 000,http://www.icetrade.by/tenders/all/view/726434
BLR,"ОАО ""Жабинковский сахарный завод""",2019-07-15,Закупка запасных частей к диффузионному аппарату ДС-10,2019-726977,55 000,http://www.icetrade.by/tenders/all/view/726977
BLR,"Государственное предприятие ""УКС города Гомеля""",2019-07-22,"Выбор генеральной проектной организации на выполнение проектно-изыскательских работ объекта ""Многоэтажный жилой дом на пересечении улиц Советская-Федюнинского в г. Гомеле""",2019-724658,398 328,http://www.icetrade.by/tenders/all/view/724658
BLR,"ОАО ""Белкард"", г.Гродно",2019-07-29,закупка подшипников,2019-722595,1 506 864.96,http://www.icetrade.by/tenders/all/view/722595
BLR,"РУП ""Медтехника""",2019-08-09,"МогМТ№8/19-ПЭА""Реагенты расходные""",2019-724377,0,http://www.icetrade.by/tenders/all/view/724377
BLR,"Отдел образования, спорта и туризма Житковичского райисполкома",2019-07-14,Закупка продуктов питания,2019-725587,0,http://www.icetrade.by/tenders/all/view/725587
BLR,"ОАО ""Банковский процессинговый центр""",2019-07-16,Услуга по технической поддержке программного обеспечения HPE ArcSight.,2019-726394,0,http://www.icetrade.by/tenders/all/view/726394
BLR,"Государственное предприятие ""УКС Червенского района""",2019-07-15,"Выбор подрядной организации для проведения проектно - изыскательских работ по объекту ""Инженерные сети к многоквартирному жилому дому по ул. Победы в г. Червень""",2019-721517,20 839.95,http://www.icetrade.by/tenders/all/view/721517
BLR,"ОАО ""МТЗ""",2019-07-18,Ванна фосфатирования из нержавеющей стали с электрообогревом,2019-713388,0,http://www.icetrade.by/tenders/all/view/713388
BLR,Слонимское ГУП ЖКХ,2019-07-25,"Закупка мебели, электроприборов и туалетных и прочих принадлежностей",2019-725706,100 900,http://www.icetrade.by/tenders/all/view/725706
BLR,"УЗ ""Гродненский областной клинический кардиологический центр""",2019-07-16,Закупка шовного материала,2019-726431,0,http://www.icetrade.by/tenders/all/view/726431
BLR,"ОАО ""Управляющая компания холдинга ""МИНСКИЙ МОТОРНЫЙ ЗАВОД""",2019-07-16,"Кремния Кр0, ГОСТ 2169-69, фракция 10-100 мм или Кремний марки 441, ТУ 1711-015-5072130-2016, фракция 10-100 мм в количестве 20,0 тн.",2019-726976,150 000,http://www.icetrade.by/tenders/all/view/726976
BLR,ИК №22 управления ДИН МВД по Брестской области,2019-08-12,Закупка картофеля и капусты поздних урожая 2019 года,2019-724650,53 000,http://www.icetrade.by/tenders/all/view/724650
BLR,"УП ""БЕЛМЕДТЕХНИКА""",2019-07-19,БелМТ №164/19-ПЭА «Рентгеновский компьютерный томограф»,2019-722557,0,http://www.icetrade.by/tenders/all/view/722557
BLR,"Коммунальное жилищное унитарное предприятие ""Мозырский райжилкомхоз""",2019-07-22,Закупка мусоровозов,2019-724370,260 000,http://www.icetrade.by/tenders/all/view/724370
BLR,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",2019-07-15,БарМТ №422/19 Стерилизатор паровой. Ультразвуковая мойка для мелкого инструментария,2019-725585,0,http://www.icetrade.by/tenders/all/view/725585
BLR,"Волковысское ОАО ""Беллакт""",2019-07-18,Закупка материала для запайки стаканов,2019-726388,80 850,http://www.icetrade.by/tenders/all/view/726388
BLR,"ГПО ""Минскстрой""",2019-07-15,Выбор организации на разработку проектной документации,2019-721501,248 015,http://www.icetrade.by/tenders/all/view/721501
BLR,"УП ""БЕЛМЕДТЕХНИКА""",2019-07-26,БелМТ №476/19-ЭА «Анализаторы мочи»,2019-713339,0,http://www.icetrade.by/tenders/all/view/713339
BLR,Министерство обороны Республики Беларусь,2019-07-15,Оборудование для системы регистрации и отображения информации (на 8 ЖКИ-панелей 55 дюймов),2019-725695,260 000,http://www.icetrade.by/tenders/all/view/725695
BLR,"Государственное предприятие ""Гудогай""",2019-07-17,Закупка средств защиты растений (осень),2019-726974,0,http://www.icetrade.by/tenders/all/view/726974
BLR,"ИООО ""ЛУКОЙЛ Белоруссия""",2019-07-22,"Закупка оборудования и запасных частей для АЗС, нефтебаз, складов хранения газа и лабораторий ИООО ""ЛУКОЙЛ Белоруссия"" в 2019 году.",2019-724641,0,http://www.icetrade.by/tenders/all/view/724641
BLR,"УП ""БЕЛМЕДТЕХНИКА""",2019-07-12,БелМТ №238/19-ПЭА «Хроматограф жидкостный»,2019-722556,190 000,http://www.icetrade.by/tenders/all/view/722556
BLR,"ОАО ""Гродно Азот""",2019-07-16,Закупка клапанов регулирующих для цеха АКиКАС по Лотам,2019-724361,3,http://www.icetrade.by/tenders/all/view/724361
BLR,"ОАО ""БЕЛЭНЕРГОРЕМНАЛАДКА""",2019-07-16,закупка работ по внедрению модулей «Бюджетирование» и  КИС «ППР и СИ» в подразделениях ОАО «Белэнергоремналадка»,2019-725582,138 425,http://www.icetrade.by/tenders/all/view/725582
BLR,"РУП ""Медтехника""",2019-07-19,МогМТ№91/19-ЭА «Расходные материалы и принадлежности для медицинского оборудования»,2019-726381,0,http://www.icetrade.by/tenders/all/view/726381
BLR,"Государственное предприятие ""Жилищное коммунальное хозяйство Первомайского района г.Минска""",2019-07-22,"выполнение работ по текущему ремонту системы ливневой канализации жилых домов (по лотам №№1,2)",2019-721490,12 791,http://www.icetrade.by/tenders/all/view/721490
BLR,"УП ""БЕЛМЕДТЕХНИКА""",2019-07-26,БелМТ №472/19-ЭА «Анализаторы глюкозы и лактата»,2019-713293,0,http://www.icetrade.by/tenders/all/view/713293
BLR,"Минский филиал РУП ""Белтаможсервис""",2019-07-15,Услуги по уборке помещений,2019-725693,195 499,http://www.icetrade.by/tenders/all/view/725693
BLR,"УП ""Гроднооблгаз""",2019-07-15,"Выбор генподрядной (подрядной) организации на выполнение предпроектных, проектных и изыскательских работ по объекту «Газоснабжение жилого дома по ул. Коммунальная, д. 43 в г. Лида»",2019-726972,2 700,http://www.icetrade.by/tenders/all/view/726972
BLR,ИК №22 управления ДИН МВД по Брестской области,2019-07-12,Брикет торфяной,2019-724640,18 000,http://www.icetrade.by/tenders/all/view/724640
BLR,"КУП ""Оршакомхоз""",2019-07-16,"Выбор подрядчика для выполнения отдельных видов строительных работ по объекту: Модернизация системы отопления жилого дома № 45 по ул. Центральная в аг. Лисуны""",2019-722548,81 149.45,http://www.icetrade.by/tenders/all/view/722548
BLR,"ОАО ""Кузлитмаш""",2019-07-23,Закупка систем управления прессов однокривошипных простого действия закрытых мод. К2538 и мод.К2540 совместно с пусконаладочными работами и услугами по обучению персонала.,2019-724360,80 000,http://www.icetrade.by/tenders/all/view/724360
BLR,"Отдел по образованию, спорту и туризму Костюковичского районного исполнительного комитета",2019-07-14,светильники с люминесцентными лампами,2019-725578,25 500,http://www.icetrade.by/tenders/all/view/725578
BLR,"Волковысское ОАО ""Беллакт""",2019-07-19,дезинфицирующее средство с моющим эффектом,2019-726377,48 950,http://www.icetrade.by/tenders/all/view/726377
BLR,"Государственное предприятие ""Жилищное коммунальное хозяйство № 1 Московского района г.Минска""",2019-07-15,Утепление промерзающих участков стен жилых домов,2019-721488,416 473.04,http://www.icetrade.by/tenders/all/view/721488
BLR,"УП ""БЕЛМЕДТЕХНИКА""",2019-07-12,МТ №470/19-ЭА  «Глюкометры с тест-полосками»,2019-713100,50 000,http://www.icetrade.by/tenders/all/view/713100
BLR,Барановичская городская больница № 2,2019-07-14,Реагенты и расходные материалы для КДЛ на 2-й квартал 2019г.,2019-725691,0,http://www.icetrade.by/tenders/all/view/725691
BLR,"Государственное предприятие ""Белоруснефть-Промсервис""",2019-07-18,Закупка многофункционального автомобиля для ремонта сетей (автомобиль специальный для монтажа и ремонта линий электропередач),2019-726971,450 000,http://www.icetrade.by/tenders/all/view/726971
BLR,"ОАО ""Нафтан""",2019-07-25,"Запасные части для компрессоров марок 2М10-10/20-50Б и ДАОН-350П производства ОАО «Пензкомпрессормаш», Россия согласно Приложению №1 - 15 позиций",2019-724635,0,http://www.icetrade.by/tenders/all/view/724635
BLR,Управление СЗОК,2019-07-16,Текущий ремонт зданий,2019-722543,1 135 000,http://www.icetrade.by/tenders/all/view/722543
BLR,ДОСААФ,2019-07-15,"Закупка систем парашютных типа Тандем с электронным страхующим прибором ""MARS"" или аналогом",2019-724347,40 040,http://www.icetrade.by/tenders/all/view/724347
BLR,ОАО «СветлогорскХимволокно»,2019-07-15,Фильтр - пресс,2019-725574,116 734,http://www.icetrade.by/tenders/all/view/725574
BLR,"ОАО ""АГРОКОМБИНАТ ""ДЗЕРЖИНСКИЙ""",2019-07-17,Кормовая добавка,2019-726376,576 000,http://www.icetrade.by/tenders/all/view/726376
BLR,"Частное предприятие ""Инжетех""",2019-07-15,выполнение строительно-монтажных работ,2019-721487,233 957,http://www.icetrade.by/tenders/all/view/721487
BLR,"УП ""БЕЛМЕДТЕХНИКА""",2019-07-26,БелМТ №469/19-ЭА «Тонометр бесконтактный»,2019-713049,0,http://www.icetrade.by/tenders/all/view/713049
BLR,Министерство обороны Республики Беларусь,2019-07-15,Оборудование для системы регистрации и отображения информации (на 6 ЖКИ-панелей 46 дюймов),2019-725681,150 000,http://www.icetrade.by/tenders/all/view/725681
BLR,"ОАО ""Гомельский мотороремонтный завод""",2019-07-15,Строительство храма Скитковской иконы Божией Матери в г. Гомеле Гомельской епархии БПЦ (I очередь),2019-726967,20 000,http://www.icetrade.by/tenders/all/view/726967
BLR,"ОАО ""Брестский мясокомбинат""",2019-07-29,Пищевые добавки для изготовления колбасной продукции,2019-724634,674 186.40,http://www.icetrade.by/tenders/all/view/724634
BLR,"КУП ""Оршакомхоз""",2019-07-15,"Выбор подрядной организации для выполнения отдельных видов строительных работ (установка дверных блоков в мусорокамеры, подвалы, ремонт крылец, инженерные сети: замена трубопроводов холодного, горячего водоснабжения, отопления по подвалу, замена системы ливневой канализации по подвалу, замена участков трубопроводов в ИТП) по объекту: ""Капитальный ремонт здания жилого дома № 1 по ул. Николая Сорокина в г. Барань""",2019-722542,276 453.45,http://www.icetrade.by/tenders/all/view/722542
